QEtype	QualityElement	QualitySubelement	Indicator	Parameter	Measurement	IndicatorDescription
Biological	Phytoplankton	Phytoplankton biomass	Chla	chla	Chlorophyll a	Chlorophyll a
Biological	Phytoplankton	Phytoplankton biomass	ChlaEQR	chla	Chlorophyll a	Chlorophyll a (EQR)
Biological	Phytoplankton	Phytoplankton biomass	Biovol		Phytoplankton biovolume	Phytoplankton biovolume
Biological	Phytoplankton	Phytoplankton biomass	BiovolEQR		Phytoplankton biovolume	Phytoplankton biovolume (EQR)
Biological	Benthic fauna	Composition and diversity	BQI	BQI	BQI	Benthic Quality Index (BQI)
Biological	Benthic vegetation	Composition and abundance	MSMDI	MSMDI	MSMDI	Multi-Species Maximum Depth Index (MSMDI)
Supporting	Water transparency	Secchi depth	Secchi	secchi	Secchi depth	Secchi Depth
Supporting	Water transparency	Secchi depth	SecchiEQR	secchi	Secchi depth	Secchi Depth (EQR)
Supporting	Nutrients	Nitrogen	DINsummer	DIN	Dissolved inorganic Nitrogen	Summer DIN concentration
Supporting	Nutrients	Nitrogen	TNsummer	TN	Total Nitrogen	Summer TN concentration
Supporting	Nutrients	Nitrogen	TNwinter	TN	Total Nitrogen	Winter TN concentration
Supporting	Nutrients	Phosphorus	DIPsummer	DIP	Dissolved inorganic Phosphorus	Summer DIP
Supporting	Nutrients	Phosphorus	TPsummer	TP	Total Phosphorus	Summer TP
Supporting	Nutrients	Phosphorus	TPwinter	TP	Total Phosphorus	Winter TP
Supporting	Nutrients	Nitrogen	DINsummerEQR	DIN	Dissolved inorganic Nitrogen	Summer DIN concentration (EQR)
Supporting	Nutrients	Nitrogen	TNsummerEQR	TN	Total Nitrogen	Summer TN concentration (EQR)
Supporting	Nutrients	Nitrogen	TNwinterEQR	TN	Total Nitrogen	Winter TN concentration (EQR)
Supporting	Nutrients	Phosphorus	DIPsummerEQR	DIP	Dissolved inorganic Phosphorus	Summer DIP (EQR)
Supporting	Nutrients	Phosphorus	TPsummerEQR	TP	Total Phosphorus	Summer TP (EQR)
Supporting	Nutrients	Phosphorus	TPwinterEQR	TP	Total Phosphorus	Winter TP (EQR)
Supporting	Oxygen	Oxygen	Oxygen	O2	Oxygen	Oxygen Concentration
