Indicator	Type	UseEQR	Ref	HG	GM	MP	PB	Months	Param	Comment	QE	QualityElement
chla	1n	0	1.3	1.7	2.1	3.7	6.7	06:08	chla		1	Plankton
chla	1s	0	1.6	2.1	2.8	4.6	8	06:08	chla		1	Plankton
chla	2	0	1.9	2.4	3.6	5.6	8.3	06:08	chla		1	Plankton
chla	3	0	1.1	1.4	1.8	3.5	6.2	06:08	chla		1	Plankton
chla	4	0	1	1.2	1.5	3	6	06:08	chla		1	Plankton
chla	5	0	1	1.2	1.5	3	6	06:08	chla		1	Plankton
chla	6	0	0.9	1.1	1.5	2.4	4.9	06:08	chla		1	Plankton
chla	7	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	8	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	9	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	10	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	11	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	12n	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	12s	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	13	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	14	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	15	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	16	0	1.4	1.8	2.3	4.3	10.1	06:08	chla		1	Plankton
chla	17	0	1.2	1.5	2	3.7	8.7	06:08	chla		1	Plankton
chla	18	0	1.4	1.8	2.3	4.3	10.1	06:08	chla		1	Plankton
chla	19	0	1.2	1.5	2	3.7	8.7	06:08	chla		1	Plankton
chla	20	0	1.2	1.8	2.3	4.3	10.1	06:08	chla		1	Plankton
chla	21	0	1.1	1.5	2	3.7	8.7	06:08	chla		1	Plankton
chla	22	0	1.2	1.8	2.3	4.3	10.1	06:08	chla		1	Plankton
chla	23	0	1.1	1.5	2	3.7	8.7	06:08	chla		1	Plankton
chla	24	0	1.2	1.5	1.8	3.4	8	06:08	chla		1	Plankton
chla	25	0	1.8	2.1	2.7	4.1	6.5	06:08	chla		1	Plankton
secchi	1n	1	10.5	0.81	0.67	0.48	0.29					
