"station";"x_utm";"y_utm";"WB_name";"TYP_NFS06";"WB_ID";"area";"institution";"type";"typology";"country";"obspoint";"station_depth";"date";"year";"month";"period";"value";"param";"depth";"time"
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2001-01-09;2001;1;"2001-2006";1.01;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2001-02-06;2001;2;"2001-2006";0.525;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2001-02-21;2001;2;"2001-2006";0.9;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2001-03-01;2001;3;"2001-2006";2.1;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2001-03-06;2001;3;"2001-2006";6.595;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2001-03-07;2001;3;"2001-2006";5.6;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38.5;2001-03-13;2001;3;"2001-2006";16.1;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2001-03-21;2001;3;"2001-2006";7.2;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2001-03-27;2001;3;"2001-2006";4.5;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2001-04-03;2001;4;"2001-2006";3.5;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2001-04-10;2001;4;"2001-2006";3.1;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37.5;2001-04-18;2001;4;"2001-2006";4.4;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2001-04-25;2001;4;"2001-2006";8.8;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2001-05-02;2001;5;"2001-2006";5.2;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";36;2001-05-08;2001;5;"2001-2006";1.5;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2001-05-17;2001;5;"2001-2006";2.4;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2001-05-22;2001;5;"2001-2006";1.9;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";37;2001-05-30;2001;5;"2001-2006";3.3;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2001-06-05;2001;6;"2001-2006";1.8;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2001-07-03;2001;7;"2001-2006";3.2;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";38;2001-08-07;2001;8;"2001-2006";7.145;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2001-09-04;2001;9;"2001-2006";3.505;"chla";;
"DANAFJORD";302387;6396523;"Dana fjord";1;"SE574000-114230";33709261.8147;"SMHI";"NEA 8b";"SE_1s";"SE";"DANAFJORD";39;2001-10-02;2001;10;"2001-2006";5.7;"chla";;
