Water_type	Measurement	Unit	Transform	Region	Type	Typename	V_station	V_obspoint	V_year	V_yearmonth	V_monthhour	V_yearmonthhour	V_stationdate	V_stationyear	V_stationmonth	V_institution	V_replication
Coastal	Chlorophyll a	µg/l	log	Västerhavet	1n	Västkustens inre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	1s	Västkustens inre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	2	Västkustens fjordar	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Västerhavet	6	Öresunds kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	7	Skånes kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	8	Blekinge skärgårds och Kalmarsunds inre kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	9	Blekinge skärgård, och Kalmarsunds yttre kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	10	Östra Ölands, sydöstra Gotlands kustvatten samt Gotska sandön	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	11	Gotlands västra och norra kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	12n	Östergötlands samt Stockholms skärgård, mellankustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	12s	Östergötlands samt Stockholms skärgård, mellankustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	13	Östergötlands inre skärgård	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	14	Östergötlands, yttre kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	15	Stockholms skärgård, yttre kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Egentliga Östersjön	24	Stockholms inre skärgård og Hallsfjärden	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenhavet	16	Södra Bottenhavet, inre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenhavet	17	Södra Bottenhavet, yttre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenhavet	18	Norra Bottenhavet, Höga kustens inre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenhavet	19	Norra Bottenhavet, Höga kustens yttre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenviken	20	Norra Kvarkens inre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenviken	21	Norra Kvarkens yttre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenviken	22	Bottenviken, inre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Chlorophyll a	µg/l	log	Bottenviken	23	Bottenviken, yttre kustvatten	0.0250	#N/A	0.0200	#N/A	#N/A	#N/A	0.1330	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	1n	Västkustens inre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	1s	Västkustens inre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	2	Västkustens fjordar	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	3	Skagerak, Västkustens yttre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	25	Göta Älvs- och Nordre Älvs estuarie	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	4	Kattegat, Västkustens yttre kustvatten	0.0000	#N/A	0.0530	#N/A	#N/A	#N/A	0.2780	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	5	Södra Hallands och norra Öresunds kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Västerhavet	6	Öresunds kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
Coastal	Phytoplankton biovolume	mm3/l	log	Egentliga Östersjön	7	Skånes kustvatten	0.0000	#N/A	0.0210	#N/A	#N/A	#N/A	0.2000	0.0000	#N/A	0.0609	#N/A
